Type,SKU item_sku,Title,Product Description,standard_price,img_src1,img_src2,img_src3
Pendants,CP001-WA-D,0.09 Carat Diamond Cross Pendant in 10K White Gold,"12 sparkling Diamonds are set stylishly set into a shimmering 10K white gold setting. Diamonds weigh 0.09 carat total weight and have I-J Color and I1-I2 Clarity. This beautiful Diamond cross pendant hangs from an 18"" rope chain also crafted in 10K white gold. This pendant is perfect for a gift to your loved ones for any occasion!!",143.3,Fill in the URL form google drive > Images > nycjd_images > Pendants,,
Pendants,CP001-YA-D,0.09 Carat Diamond Cross Pendant in 10K Yellow Gold,"12 sparkling Diamonds are set stylishly set into a shimmering 10K yellow gold setting. Diamonds weigh 0.09 carat total weight and have I-J Color and I1-I2 Clarity. This beautiful Diamond cross pendant hangs from an 18"" rope chain also crafted in 10K yellow gold. This pendant is perfect for a gift to your loved ones for any occasion!!",143.3,Fill in the URL form google drive > Images > nycjd_images > Pendants,,
Pendants,CP002-WA-D,0.25 Carat Diamond Cross Pendant in 10K White Gold,"A stylish cross crafted in shimmering 10K white gold is decorated with 54 sparkling Diamonds. Diamonds weigh 0.25 carat total weight and have I-J Color and I1-I2 Clarity. This unique Diamond cross pendant hangs from an 18"" rope chain also crafted in 10K white gold. A perfect gift for any special occasion!!",205.91,Fill in the URL form google drive > Images > nycjd_images > Pendants,,
Pendants,CP002-YA-D,0.25 Carat Diamond Cross Pendant in 10K Yellow Gold,"A stylish cross crafted in shimmering 10K yellow gold is decorated with 54 sparkling Diamonds. Diamonds weigh 0.25 carat total weight and have I-J Color and I1-I2 Clarity. This uniqueDiamond cross pendant hangs from an 18"" rope chain also crafted in 10K yellow gold. A perfect gift for any special occasion!!",205.91,Fill in the URL form google drive > Images > nycjd_images > Pendants,,
Pendants,CP003-WA-B,0.24 Carat Diamond Cross Pendant in 10K White Gold,"Each stunning Diamond is beautifully wrapped in shimmering 10K white gold setting. 12 Diamonds weigh 0.24 carat in total to create this unique Diamond cross pendant that hangs from an 18"" rope chain also crafted in 10K white gold.Diamonds have I-J Color and I1-I2 Clarity. Show your love by presenting this fancy Diamond cross pendant surely to be treasured forever!!",247.01,Fill in the URL form google drive > Images > nycjd_images > Pendants,,
Pendants,CP003-WA-E,0.24 Carat Blue Diamond Cross Pendant in 10K White Gold,"Each stunning Blue Diamond is beautifully wrapped in shimmering 10K white gold setting. 12 Diamonds weigh 0.24 carat in total to create this unique Diamond cross pendant that hangs from an 18"" rope chain also crafted in 10K white gold.Diamonds have I-J Color and I1-I2 Clarity. Show your love by presenting this fancy Diamond cross pendant surely to be treasured forever!!",224,Fill in the URL form google drive > Images > nycjd_images > Pendants,,
Pendants,CP003-YA-B,0.24 Carat Diamond Cross Pendant in 10K Yellow Gold,"Each stunning Diamond is beautifully wrapped in shimmering 10K yellow gold setting. 12 Diamonds weigh 0.24 carat in total to create this unique Diamond cross pendant that hangs from an 18"" rope chain also crafted in 10K yellow gold.Diamonds have I-J Color and I1-I2 Clarity. Show your love by presenting this fancyDiamond cross pendant surely to be treasured forever!!",247.01,Fill in the URL form google drive > Images > nycjd_images > Pendants,,
Pendants,CP003-YA-E,0.24 Carat Blue Diamond Cross Pendant in 10K Yellow Gold,"Each stunning Blue Diamond is beautifully wrapped in shimmering 10K yellow gold setting. 12 Diamonds weigh 0.24 carat in total to create this unique Diamond cross pendant that hangs from an 18"" rope chain also crafted in 10K yellow gold.Diamonds have I-J Color and I1-I2 Clarity. Show your love by presenting this fancy Diamond cross pendant surely to be treasured forever!!",224,Fill in the URL form google drive > Images > nycjd_images > Pendants,,
Pendants,CP004-WA-B,0.28 Carat Diamond Flower Cross Pendant in 10K White Gold,"7 sparkling Diamonds create a stunning flower in the center of a cross crafted in shimmering 10K white gold. Diamonds weigh 0.28 carat total weight and have an I-J Color and I1-I2 Clarity. This simply beautifulDiamond flower cross pendant hangs from an 18"" rope chain also crafted in 10K white gold. A simple but an elegant look of this pendant can surely please your loved ones!!",374.24,Fill in the URL form google drive > Images > nycjd_images > Pendants,,
Pendants,CP004-WA-E,0.28 Carat Blue Diamond Flower Cross Pendant in 10K White Gold,"7 sparkling blueDiamonds create a stunning flower in the center of a cross crafted in shimmering 10K white gold. Diamonds weigh 0.28 carat total weight and have an I-J Color and I1-I2 Clarity. This simply beautiful Diamond flower cross pendant hangs from an 18"" rope chain also crafted in 10K white gold. A simple but an elegant look of this pendant can surely please your loved ones!!",354,Fill in the URL form google drive > Images > nycjd_images > Pendants,,
